;partenza;destinazione
Agnadello, Marconi, 6;1164;2714
Annicco, Giuseppe Garibaldi, 6;102;245
Bagnolo Cremasco, Roma, 3;4328;1858
Bonemerse, Roma, 25;337;1073
Camisano, Trieste, 57;41;308
Capergnanica, XI febbraio, 7;670;1375
Capralba, Piave, 2;1600;1672
Casalbuttano ed Uniti, Jacini, 23;228;632
Casale Cremasco-Vidolasco, Roma, 56;121;84
Casalmaggiore, Guglielmo Marconi, 8;5566;1913
Casalpusterlengo, Pusterla 7;0;0
Castelleone, Roma, 67;7518;2950
Castelverde, Ubaldo Ferrari, 15;509;262
Cingia de' Botti, Giuseppina, 79;785;1180
Crema, Civerchi, 9;8453;38085
Cremona, Ugolani Dati, 4;1962;1724
Dovera, Oldrini 2;1109;1323
Fiesco, Giuseppe Parini, 10;560;894
Gadesco-Pieve Delmona, Giovanni Lonati 9;2128;323
Grontardo, Roma, 16;755;314
Grumello Cremonese ed Uniti, Roma, 2;236;316
Gussola, Comaschi, 1;674;783
Isola Dovarese, Giacomo Matteotti, 1;520;1506
Izano, Gerardo da Izano, 4/C;258;172
Madignano, Portici, 4;1455;4067
Martignana di Po, Libertà, 64;1001;331
Monte Cremasco, Roma, 12;559;3290
Montodine,  XXV Aprile, 10;309;1822
Offanengo, Clavelli Martini, 5;6874;9440
Ostiano, Mazzini, 1;540;119
Paderno Ponchielli, Municipio, 3;91;65
Palazzo Pignano, Marco Polo, 31;1607;981
Pandino, Castello, 15;1650;4785
Persico Dosimo, Albert ,7;653;2407
Pescarolo ed Uniti, Giuseppe Mazzini, 73;1672;2023
Piadena, Platina, 40;3410;2190
Pianengo, Nenni;1218;2062
Pizzighettone, Giuseppe Garibaldi, 18;1843;1102
Manerbio, INSURREZIONE NAZIONALE;57912;16021
Viadana, A. Manzoni, 2;0;0
Ricengo, Guglielmo Marconi;783;1999
Ripalta Cremasca, Roma, 5;524;2654
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;0;189
Rivolta d'Adda, Stefano Renzi, 5;8103;3419
Romanengo, Guaiarini, 14;841;882
San Bassano, Mons. Frosi;18;2
San Giovanni in Croce, Feudatari, 25 A;1889;2062
Scandolara Ravara, Italia;0;0
Sergnano, IV Novembre,  10;4265;1633
Sesto ed Uniti, Roma, 4;167;148
Solarolo Rainerio, Giuseppina, 81;2062;1341
Soncino, Dante Alighieri, 23;1707;6111
Soresina, Giacomo Matteotti, 6;1647;5031
Sospiro, Tosi;565;2958
Spino d'Adda, Circonvallazione, 13;2786;2180
Trescore Cremasco, Vittorio Veneto, 1;974;1723
Trigolo, Roma, 26;452;586
Vaiano Cremasco,  Gloriosi Caduti, 3;560;980
Vailate, Dante Alighieri, 7;822;47
Vescovato, Roma, 44;1703;1315
Cremona, Felice Cavallotti, 2;33;273
Cremona, Palosca n. 2;15;104
Casaletto Vaprio, Maggiore, 7;214;65
Cremona, Sesto 39;454;2889
